School Year,Gender Description,Geo Code,Geography,Grade Code,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI ,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI
2009-2010,Total,1,Abington,15,Total,Asthma,165,1751,9.4,8,10.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,2,Acton,15,Total,Asthma,349,3435,10.2,9.1,11.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,3,Acushnet,15,Total,Asthma,110,1070,10.3,8.4,12.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,4,Adams,15,Total,Asthma,134,862,15.5,12.9,18.2,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,5,Agawam,15,Total,Asthma,346,2963,11.7,10.4,12.9,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,6,Alford,15,Total,Asthma,0,31,0,0,20.6,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,7,Amesbury,15,Total,Asthma,143,1812,7.9,6.6,9.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,8,Amherst,15,Total,Asthma,185,1897,9.8,8.3,11.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,9,Andover,15,Total,Asthma,536,4458,12,11,13,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,104,Aquinnah,15,Total,Asthma,NS,33,NS,NS,NS,NS,        ,80440,696904,11.5,11.4,11.6
2009-2010,Total,10,Arlington,15,Total,Asthma,267,4089,6.5,5.7,7.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,11,Ashburnham,15,Total,Asthma,62,747,8.3,6.2,10.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,12,Ashby,15,Total,Asthma,25,371,6.7,4.1,9.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,13,Ashfield,15,Total,Asthma,21,172,12.2,7,17.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,14,Ashland,15,Total,Asthma,125,2093,6,4.9,7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
